clk:           0	 request_char: 0	 lfsr_to_ascii:   0	 ascii_to_fifo:  33	 fifo_out_to_uart:   0	 uart_done: 0	 s_out: 1
clk:        5209	 request_char: 1	 lfsr_to_ascii:  12	 ascii_to_fifo:  45	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 0
clk:       36463	 request_char: 1	 lfsr_to_ascii:  34	 ascii_to_fifo:  67	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 1
clk:       46881	 request_char: 1	 lfsr_to_ascii: 248	 ascii_to_fifo: 119	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 0
clk:       67717	 request_char: 1	 lfsr_to_ascii: 255	 ascii_to_fifo: 126	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 1
clk:       78135	 request_char: 1	 lfsr_to_ascii: 183	 ascii_to_fifo: 122	 fifo_out_to_uart:  36	 uart_done: 0	 s_out: 0
clk:       98971	 request_char: 1	 lfsr_to_ascii:  81	 ascii_to_fifo: 114	 fifo_out_to_uart:  36	 uart_done: 1	 s_out: 1
clk:      119807	 request_char: 1	 lfsr_to_ascii:  27	 ascii_to_fifo:  60	 fifo_out_to_uart:  67	 uart_done: 0	 s_out: 0
clk:      130225	 request_char: 1	 lfsr_to_ascii: 142	 ascii_to_fifo:  81	 fifo_out_to_uart:  67	 uart_done: 0	 s_out: 1
clk:      151061	 request_char: 1	 lfsr_to_ascii: 188	 ascii_to_fifo:  59	 fifo_out_to_uart:  67	 uart_done: 0	 s_out: 0
clk:      192733	 request_char: 1	 lfsr_to_ascii:  42	 ascii_to_fifo:  75	 fifo_out_to_uart:  67	 uart_done: 0	 s_out: 1
clk:      203151	 request_char: 1	 lfsr_to_ascii: 250	 ascii_to_fifo: 121	 fifo_out_to_uart:  67	 uart_done: 0	 s_out: 0
clk:      213569	 request_char: 1	 lfsr_to_ascii: 206	 ascii_to_fifo:  77	 fifo_out_to_uart:  67	 uart_done: 1	 s_out: 1
clk:      234405	 request_char: 1	 lfsr_to_ascii: 184	 ascii_to_fifo: 123	 fifo_out_to_uart:  95	 uart_done: 0	 s_out: 0
clk:      244823	 request_char: 1	 lfsr_to_ascii:  46	 ascii_to_fifo:  79	 fifo_out_to_uart:  95	 uart_done: 0	 s_out: 1
clk:      296913	 request_char: 1	 lfsr_to_ascii: 155	 ascii_to_fifo:  94	 fifo_out_to_uart:  95	 uart_done: 0	 s_out: 0
clk:      307331	 request_char: 1	 lfsr_to_ascii: 174	 ascii_to_fifo: 113	 fifo_out_to_uart:  95	 uart_done: 0	 s_out: 1
clk:      317749	 request_char: 1	 lfsr_to_ascii: 219	 ascii_to_fifo:  90	 fifo_out_to_uart:  95	 uart_done: 0	 s_out: 0
clk:      328167	 request_char: 1	 lfsr_to_ascii: 190	 ascii_to_fifo:  61	 fifo_out_to_uart:  95	 uart_done: 1	 s_out: 1
clk:      349003	 request_char: 1	 lfsr_to_ascii: 191	 ascii_to_fifo:  62	 fifo_out_to_uart: 122	 uart_done: 0	 s_out: 0
clk:      369839	 request_char: 1	 lfsr_to_ascii: 161	 ascii_to_fifo: 100	 fifo_out_to_uart: 122	 uart_done: 0	 s_out: 1
clk:      380257	 request_char: 1	 lfsr_to_ascii:  80	 ascii_to_fifo: 113	 fifo_out_to_uart: 122	 uart_done: 0	 s_out: 0
clk:      390675	 request_char: 1	 lfsr_to_ascii:  20	 ascii_to_fifo:  53	 fifo_out_to_uart: 122	 uart_done: 0	 s_out: 1
clk:      432347	 request_char: 1	 lfsr_to_ascii: 233	 ascii_to_fifo: 104	 fifo_out_to_uart: 122	 uart_done: 0	 s_out: 0
clk:      442765	 request_char: 1	 lfsr_to_ascii:  66	 ascii_to_fifo:  99	 fifo_out_to_uart: 122	 uart_done: 1	 s_out: 1
clk:      463601	 request_char: 1	 lfsr_to_ascii:  56	 ascii_to_fifo:  89	 fifo_out_to_uart: 114	 uart_done: 0	 s_out: 0
clk:      484437	 request_char: 1	 lfsr_to_ascii: 243	 ascii_to_fifo: 114	 fifo_out_to_uart: 114	 uart_done: 0	 s_out: 1
clk:      494855	 request_char: 1	 lfsr_to_ascii: 180	 ascii_to_fifo: 119	 fifo_out_to_uart: 114	 uart_done: 0	 s_out: 0
clk:      515691	 request_char: 1	 lfsr_to_ascii: 115	 ascii_to_fifo:  54	 fifo_out_to_uart: 114	 uart_done: 0	 s_out: 1
clk:      546945	 request_char: 1	 lfsr_to_ascii: 113	 ascii_to_fifo:  52	 fifo_out_to_uart: 114	 uart_done: 0	 s_out: 0
clk:      557363	 request_char: 1	 lfsr_to_ascii: 100	 ascii_to_fifo:  39	 fifo_out_to_uart: 114	 uart_done: 1	 s_out: 1
clk:      578199	 request_char: 1	 lfsr_to_ascii: 126	 ascii_to_fifo:  65	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 0
clk:      609453	 request_char: 1	 lfsr_to_ascii: 164	 ascii_to_fifo: 103	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 1
clk:      651125	 request_char: 1	 lfsr_to_ascii:  59	 ascii_to_fifo:  92	 fifo_out_to_uart:  60	 uart_done: 0	 s_out: 0
clk:      671961	 request_char: 1	 lfsr_to_ascii: 209	 ascii_to_fifo:  80	 fifo_out_to_uart:  60	 uart_done: 1	 s_out: 1
clk:      692797	 request_char: 1	 lfsr_to_ascii:  19	 ascii_to_fifo:  52	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 0
clk:      713633	 request_char: 1	 lfsr_to_ascii:  35	 ascii_to_fifo:  68	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 1
clk:      724051	 request_char: 1	 lfsr_to_ascii: 128	 ascii_to_fifo:  67	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 0
clk:      744887	 request_char: 1	 lfsr_to_ascii:   8	 ascii_to_fifo:  41	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 1
clk:      755305	 request_char: 1	 lfsr_to_ascii:   2	 ascii_to_fifo:  35	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 0
clk:      765723	 request_char: 1	 lfsr_to_ascii: 240	 ascii_to_fifo: 111	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 1
clk:      776141	 request_char: 1	 lfsr_to_ascii:  60	 ascii_to_fifo:  93	 fifo_out_to_uart:  82	 uart_done: 0	 s_out: 0
clk:      786559	 request_char: 1	 lfsr_to_ascii:  15	 ascii_to_fifo:  48	 fifo_out_to_uart:  82	 uart_done: 1	 s_out: 1
clk:      807395	 request_char: 1	 lfsr_to_ascii: 170	 ascii_to_fifo: 109	 fifo_out_to_uart:  80	 uart_done: 0	 s_out: 0
clk:      859485	 request_char: 1	 lfsr_to_ascii:  18	 ascii_to_fifo:  51	 fifo_out_to_uart:  80	 uart_done: 0	 s_out: 1
clk:      869903	 request_char: 1	 lfsr_to_ascii: 244	 ascii_to_fifo: 115	 fifo_out_to_uart:  80	 uart_done: 0	 s_out: 0
clk:      880321	 request_char: 1	 lfsr_to_ascii:  61	 ascii_to_fifo:  94	 fifo_out_to_uart:  80	 uart_done: 0	 s_out: 1
clk:      890739	 request_char: 1	 lfsr_to_ascii: 119	 ascii_to_fifo:  58	 fifo_out_to_uart:  80	 uart_done: 0	 s_out: 0
clk:      901157	 request_char: 1	 lfsr_to_ascii: 149	 ascii_to_fifo:  88	 fifo_out_to_uart:  80	 uart_done: 1	 s_out: 1
clk:      921993	 request_char: 1	 lfsr_to_ascii: 111	 ascii_to_fifo:  50	 fifo_out_to_uart: 107	 uart_done: 0	 s_out: 0
